item,persona_0001,persona_0002,persona_0003,persona_0004,persona_0005,persona_0006,persona_0007,persona_0008,persona_0009,persona_0010,persona_0011,persona_0012,persona_0013,persona_0014,persona_0015,persona_0016,persona_0017,persona_0018,persona_0019,persona_0020
Affiliate Marketing,,0,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1
Babysitting,0,,1,1,1,,1,1,0,0,1,1,1,1,1,1,1,,,
Car Detailing/Washing,1,,,1,,,0,1,1,1,1,1,1,1,1,1,,,1,
Coaching,,,,,0,1,,,,1,,0,1,,1,0,,0,1,1
Consulting,,,,,0,1,,,,,,0,1,,0,0,,0,1,0
Content Creation,1,0,1,1,1,1,1,1,,1,1,0,1,,1,0,1,1,1,1
Data Entry,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,,1,1
Delivery Services,,,,0,,,0,1,0,0,0,0,0,1,0,1,,,1,
Event Staffing,1,,1,1,1,,1,1,0,1,1,1,1,0,1,1,,,1,
Freelance Graphic Design,,0,0,0,0,1,,1,,0,,0,0,,0,1,0,0,,1
Freelance Photography,,1,1,1,1,1,0,1,,1,,1,1,,1,1,1,1,1,1
Freelance Video Editing,,0,1,1,0,1,,1,,1,,1,1,,1,1,1,1,,1
Freelance Writing/Editing,,1,0,0,0,0,,1,,0,0,0,0,,0,1,0,0,,0
Gig Economy Jobs,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
House Cleaning/Organization,1,,,1,,,1,1,0,1,1,1,1,1,1,1,,,1,
House Sitting,1,,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,,1,
Merchandise Sales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Odd Jobs/Handyman Services,,,,0,,,1,1,1,0,1,0,1,1,1,1,,,1,
Online Courses/Digital Products,,0,1,1,0,1,,1,,1,,0,1,,1,0,1,0,0,1
Online Surveys/Microtasks,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,,1,1
Online Tutoring/Teaching,,,0,0,1,1,,,,0,,0,1,,0,0,0,1,1,0
Pet Sitting/Dog Walking,0,,1,0,1,,1,1,0,0,0,1,1,1,0,1,1,,1,
Photography,,1,1,1,0,1,1,1,,1,,1,1,,1,1,1,1,1,1
Private Coaching/Lessons,,,,,1,1,,,,1,,1,1,,1,0,,1,0,0
Renting out a spare room/property,,,,,1,1,,,,,,1,,,1,1,,1,1,0
Renting out your car,,,,,1,1,,,,,,1,,,1,1,,1,1,0
Reselling Items,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
Ridesharing,,,,,,,0,,,0,0,0,0,1,0,1,,,1,1
Selling Crafts/Art,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1
Selling Digital Products,,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,1
Session Work/Recording,,1,,1,1,1,,0,,1,,1,1,,1,1,,1,,1
Social Media Management,,0,1,0,0,1,0,1,,0,1,0,0,,1,1,0,1,1,1
Task-Based Apps,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,,1,1
Transcription Services,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,1,1
Tutoring/Academic Coaching,,,0,1,1,0,,,,0,,0,0,,0,0,1,0,1,1
Vehicle Transport,,,,,,,0,,,,,1,1,,1,1,,,1,
Virtual Assistant Work,,0,0,0,1,1,1,1,,0,0,1,1,0,0,1,0,1,1,1
Web Design/Development,,1,1,0,1,1,,1,,0,,0,0,,0,1,0,0,,0
Website Testing,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Writing/Editing,,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,,1
